Loc	McC	MER	MOK	PITMC	PITRC	PUTBC	PUTRR	SAG	HSS	GUAD	PEN	RUS	RUS_E	UVAS	COY	SAC	NAP	SUS
McC	-																	
MER	0.65	-																
MOK	0.82	0.45	-															
PITMC	0.78	0.68	0.89	-														
PITRC	0.78	0.65	0.89	0.34	-													
PUTBC	0.91	0.78	0.65	0.93	0.93	-												
PUTRR	0.84	0.68	0.85	0.83	0.81	0.46	-											
SAG	0.96	0.90	0.97	0.96	0.96	0.96	0.92	-										
HSS	0.61	0.63	0.80	0.80	0.79	0.91	0.83	0.96	-									
GUAD	0.89	0.79	0.91	0.90	0.90	0.91	0.84	0.96	0.88	-								
PEN	0.89	0.79	0.90	0.90	0.90	0.91	0.81	0.96	0.88	0.26	-							
RUS	0.85	0.76	0.87	0.86	0.85	0.88	0.84	0.96	0.85	0.59	0.59	-						
RUSEF	0.89	0.79	0.91	0.90	0.89	0.91	0.85	0.96	0.88	0.70	0.70	0.27	-					
UVAS	0.89	0.80	0.91	0.91	0.91	0.92	0.85	0.96	0.89	0.46	0.44	0.62	0.72	-				
COY	0.89	0.75	0.92	0.91	0.91	0.92	0.82	0.96	0.89	0.36	0.21	0.59	0.71	0.49	-			
SACP	0.70	0.60	0.73	0.69	0.68	0.50	0.19	0.89	0.71	0.75	0.75	0.73	0.76	0.76	0.73	-		
NAP	0.81	0.62	0.83	0.79	0.77	0.54	0.18	0.90	0.81	0.82	0.82	0.78	0.82	0.83	0.78	0.23	-	
SUS	0.84	0.62	0.85	0.82	0.80	0.59	0.21	0.91	0.83	0.84	0.84	0.80	0.84	0.85	0.80	0.24	0.12	-
WAD	0.85	.069	0.86	0.84	0.83	0.65	0.36	0.92	0.84	0.85	0.85	0.82	0.85	0.86	0.83	0.37	0.22	0.28
